"Set_Number","Set_Keyword","Pair_1","Pair_2"
21,"yoga_mats","stimuli_exp1_jpg\\17b.jpg","stimuli_exp1_jpg\\17a.jpg"
21,"yoga_mats","stimuli_exp1_jpg\\17a.jpg","stimuli_exp1_jpg\\17c.jpg"
21,"yoga_mats","stimuli_exp1_jpg\\17d.jpg","stimuli_exp1_jpg\\17a.jpg"
21,"yoga_mats","stimuli_exp1_jpg\\17c.jpg","stimuli_exp1_jpg\\17b.jpg"
21,"yoga_mats","stimuli_exp1_jpg\\17d.jpg","stimuli_exp1_jpg\\17b.jpg"
21,"yoga_mats","stimuli_exp1_jpg\\17d.jpg","stimuli_exp1_jpg\\17c.jpg"
28,"duck","stimuli_exp1_jpg\\6a.jpg","stimuli_exp1_jpg\\6b.jpg"
28,"duck","stimuli_exp1_jpg\\6c.jpg","stimuli_exp1_jpg\\6a.jpg"
28,"duck","stimuli_exp1_jpg\\6d.jpg","stimuli_exp1_jpg\\6a.jpg"
28,"duck","stimuli_exp1_jpg\\6c.jpg","stimuli_exp1_jpg\\6b.jpg"
28,"duck","stimuli_exp1_jpg\\6d.jpg","stimuli_exp1_jpg\\6b.jpg"
28,"duck","stimuli_exp1_jpg\\6d.jpg","stimuli_exp1_jpg\\6c.jpg"
44,"chess","stimuli_exp1_jpg\\33a.jpg","stimuli_exp1_jpg\\33b.jpg"
44,"chess","stimuli_exp1_jpg\\33a.jpg","stimuli_exp1_jpg\\33c.jpg"
44,"chess","stimuli_exp1_jpg\\33d.jpg","stimuli_exp1_jpg\\33a.jpg"
44,"chess","stimuli_exp1_jpg\\33c.jpg","stimuli_exp1_jpg\\33b.jpg"
44,"chess","stimuli_exp1_jpg\\33d.jpg","stimuli_exp1_jpg\\33b.jpg"
44,"chess","stimuli_exp1_jpg\\33d.jpg","stimuli_exp1_jpg\\33c.jpg"
37,"pancake","stimuli_exp1_jpg\\21a.jpg","stimuli_exp1_jpg\\21b.jpg"
37,"pancake","stimuli_exp1_jpg\\21c.jpg","stimuli_exp1_jpg\\21a.jpg"
37,"pancake","stimuli_exp1_jpg\\21d.jpg","stimuli_exp1_jpg\\21a.jpg"
37,"pancake","stimuli_exp1_jpg\\21c.jpg","stimuli_exp1_jpg\\21b.jpg"
37,"pancake","stimuli_exp1_jpg\\21b.jpg","stimuli_exp1_jpg\\21d.jpg"
37,"pancake","stimuli_exp1_jpg\\21c.jpg","stimuli_exp1_jpg\\21d.jpg"
5,"pasta_water","stimuli_exp1_jpg\\37b.jpg","stimuli_exp1_jpg\\37a.jpg"
5,"pasta_water","stimuli_exp1_jpg\\37c.jpg","stimuli_exp1_jpg\\37a.jpg"
5,"pasta_water","stimuli_exp1_jpg\\37a.jpg","stimuli_exp1_jpg\\37d.jpg"
5,"pasta_water","stimuli_exp1_jpg\\37b.jpg","stimuli_exp1_jpg\\37c.jpg"
5,"pasta_water","stimuli_exp1_jpg\\37b.jpg","stimuli_exp1_jpg\\37d.jpg"
5,"pasta_water","stimuli_exp1_jpg\\37d.jpg","stimuli_exp1_jpg\\37c.jpg"
6,"soap_water","stimuli_exp1_jpg\\19a.jpg","stimuli_exp1_jpg\\19b.jpg"
6,"soap_water","stimuli_exp1_jpg\\19a.jpg","stimuli_exp1_jpg\\19c.jpg"
6,"soap_water","stimuli_exp1_jpg\\19a.jpg","stimuli_exp1_jpg\\19d.jpg"
6,"soap_water","stimuli_exp1_jpg\\19c.jpg","stimuli_exp1_jpg\\19b.jpg"
6,"soap_water","stimuli_exp1_jpg\\19d.jpg","stimuli_exp1_jpg\\19b.jpg"
6,"soap_water","stimuli_exp1_jpg\\19d.jpg","stimuli_exp1_jpg\\19c.jpg"
46,"socks","stimuli_exp1_jpg\\44a.jpg","stimuli_exp1_jpg\\44b.jpg"
46,"socks","stimuli_exp1_jpg\\44a.jpg","stimuli_exp1_jpg\\44c.jpg"
46,"socks","stimuli_exp1_jpg\\44d.jpg","stimuli_exp1_jpg\\44a.jpg"
46,"socks","stimuli_exp1_jpg\\44b.jpg","stimuli_exp1_jpg\\44c.jpg"
46,"socks","stimuli_exp1_jpg\\44b.jpg","stimuli_exp1_jpg\\44d.jpg"
46,"socks","stimuli_exp1_jpg\\44d.jpg","stimuli_exp1_jpg\\44c.jpg"
33,"ice_cream","stimuli_exp1_jpg\\28b.jpg","stimuli_exp1_jpg\\28a.jpg"
33,"ice_cream","stimuli_exp1_jpg\\28a.jpg","stimuli_exp1_jpg\\28c.jpg"
33,"ice_cream","stimuli_exp1_jpg\\28a.jpg","stimuli_exp1_jpg\\28d.jpg"
33,"ice_cream","stimuli_exp1_jpg\\28b.jpg","stimuli_exp1_jpg\\28c.jpg"
33,"ice_cream","stimuli_exp1_jpg\\28b.jpg","stimuli_exp1_jpg\\28d.jpg"
33,"ice_cream","stimuli_exp1_jpg\\28d.jpg","stimuli_exp1_jpg\\28c.jpg"
19,"horses","stimuli_exp1_jpg\\46a.jpg","stimuli_exp1_jpg\\46b.jpg"
19,"horses","stimuli_exp1_jpg\\46c.jpg","stimuli_exp1_jpg\\46a.jpg"
19,"horses","stimuli_exp1_jpg\\46d.jpg","stimuli_exp1_jpg\\46a.jpg"
19,"horses","stimuli_exp1_jpg\\46b.jpg","stimuli_exp1_jpg\\46c.jpg"
19,"horses","stimuli_exp1_jpg\\46b.jpg","stimuli_exp1_jpg\\46d.jpg"
19,"horses","stimuli_exp1_jpg\\46c.jpg","stimuli_exp1_jpg\\46d.jpg"
17,"postcards","stimuli_exp1_jpg\\39b.jpg","stimuli_exp1_jpg\\39a.jpg"
17,"postcards","stimuli_exp1_jpg\\39a.jpg","stimuli_exp1_jpg\\39c.jpg"
17,"postcards","stimuli_exp1_jpg\\39d.jpg","stimuli_exp1_jpg\\39a.jpg"
17,"postcards","stimuli_exp1_jpg\\39b.jpg","stimuli_exp1_jpg\\39c.jpg"
17,"postcards","stimuli_exp1_jpg\\39d.jpg","stimuli_exp1_jpg\\39b.jpg"
17,"postcards","stimuli_exp1_jpg\\39c.jpg","stimuli_exp1_jpg\\39d.jpg"
39,"seashells","stimuli_exp1_jpg\\5a.jpg","stimuli_exp1_jpg\\5b.jpg"
39,"seashells","stimuli_exp1_jpg\\5c.jpg","stimuli_exp1_jpg\\5a.jpg"
39,"seashells","stimuli_exp1_jpg\\5a.jpg","stimuli_exp1_jpg\\5d.jpg"
39,"seashells","stimuli_exp1_jpg\\5b.jpg","stimuli_exp1_jpg\\5c.jpg"
39,"seashells","stimuli_exp1_jpg\\5b.jpg","stimuli_exp1_jpg\\5d.jpg"
39,"seashells","stimuli_exp1_jpg\\5c.jpg","stimuli_exp1_jpg\\5d.jpg"
48,"ski_poles","stimuli_exp1_jpg\\48a.jpg","stimuli_exp1_jpg\\48b.jpg"
48,"ski_poles","stimuli_exp1_jpg\\48c.jpg","stimuli_exp1_jpg\\48a.jpg"
48,"ski_poles","stimuli_exp1_jpg\\48d.jpg","stimuli_exp1_jpg\\48a.jpg"
48,"ski_poles","stimuli_exp1_jpg\\48b.jpg","stimuli_exp1_jpg\\48c.jpg"
48,"ski_poles","stimuli_exp1_jpg\\48b.jpg","stimuli_exp1_jpg\\48d.jpg"
48,"ski_poles","stimuli_exp1_jpg\\48d.jpg","stimuli_exp1_jpg\\48c.jpg"
23,"candles","stimuli_exp1_jpg\\14b.jpg","stimuli_exp1_jpg\\14a.jpg"
23,"candles","stimuli_exp1_jpg\\14c.jpg","stimuli_exp1_jpg\\14a.jpg"
23,"candles","stimuli_exp1_jpg\\14d.jpg","stimuli_exp1_jpg\\14a.jpg"
23,"candles","stimuli_exp1_jpg\\14c.jpg","stimuli_exp1_jpg\\14b.jpg"
23,"candles","stimuli_exp1_jpg\\14b.jpg","stimuli_exp1_jpg\\14d.jpg"
23,"candles","stimuli_exp1_jpg\\14c.jpg","stimuli_exp1_jpg\\14d.jpg"
30,"log","stimuli_exp1_jpg\\30a.jpg","stimuli_exp1_jpg\\30b.jpg"
30,"log","stimuli_exp1_jpg\\30c.jpg","stimuli_exp1_jpg\\30a.jpg"
30,"log","stimuli_exp1_jpg\\30d.jpg","stimuli_exp1_jpg\\30a.jpg"
30,"log","stimuli_exp1_jpg\\30b.jpg","stimuli_exp1_jpg\\30c.jpg"
30,"log","stimuli_exp1_jpg\\30d.jpg","stimuli_exp1_jpg\\30b.jpg"
30,"log","stimuli_exp1_jpg\\30d.jpg","stimuli_exp1_jpg\\30c.jpg"
41,"balloons","stimuli_exp1_jpg\\16a.jpg","stimuli_exp1_jpg\\16b.jpg"
41,"balloons","stimuli_exp1_jpg\\16c.jpg","stimuli_exp1_jpg\\16a.jpg"
41,"balloons","stimuli_exp1_jpg\\16a.jpg","stimuli_exp1_jpg\\16d.jpg"
41,"balloons","stimuli_exp1_jpg\\16b.jpg","stimuli_exp1_jpg\\16c.jpg"
41,"balloons","stimuli_exp1_jpg\\16d.jpg","stimuli_exp1_jpg\\16b.jpg"
41,"balloons","stimuli_exp1_jpg\\16c.jpg","stimuli_exp1_jpg\\16d.jpg"
16,"dogs_running","stimuli_exp1_jpg\\41a.jpg","stimuli_exp1_jpg\\41b.jpg"
16,"dogs_running","stimuli_exp1_jpg\\41c.jpg","stimuli_exp1_jpg\\41a.jpg"
16,"dogs_running","stimuli_exp1_jpg\\41a.jpg","stimuli_exp1_jpg\\41d.jpg"
16,"dogs_running","stimuli_exp1_jpg\\41c.jpg","stimuli_exp1_jpg\\41b.jpg"
16,"dogs_running","stimuli_exp1_jpg\\41d.jpg","stimuli_exp1_jpg\\41b.jpg"
16,"dogs_running","stimuli_exp1_jpg\\41c.jpg","stimuli_exp1_jpg\\41d.jpg"
12,"flipflops","stimuli_exp1_jpg\\12a.jpg","stimuli_exp1_jpg\\12b.jpg"
12,"flipflops","stimuli_exp1_jpg\\12c.jpg","stimuli_exp1_jpg\\12a.jpg"
12,"flipflops","stimuli_exp1_jpg\\12d.jpg","stimuli_exp1_jpg\\12a.jpg"
12,"flipflops","stimuli_exp1_jpg\\12c.jpg","stimuli_exp1_jpg\\12b.jpg"
12,"flipflops","stimuli_exp1_jpg\\12d.jpg","stimuli_exp1_jpg\\12b.jpg"
12,"flipflops","stimuli_exp1_jpg\\12d.jpg","stimuli_exp1_jpg\\12c.jpg"
14,"ribbons","stimuli_exp1_jpg\\35a.jpg","stimuli_exp1_jpg\\35b.jpg"
14,"ribbons","stimuli_exp1_jpg\\35a.jpg","stimuli_exp1_jpg\\35c.jpg"
14,"ribbons","stimuli_exp1_jpg\\35d.jpg","stimuli_exp1_jpg\\35a.jpg"
14,"ribbons","stimuli_exp1_jpg\\35c.jpg","stimuli_exp1_jpg\\35b.jpg"
14,"ribbons","stimuli_exp1_jpg\\35d.jpg","stimuli_exp1_jpg\\35b.jpg"
14,"ribbons","stimuli_exp1_jpg\\35c.jpg","stimuli_exp1_jpg\\35d.jpg"
25,"camera","stimuli_exp1_jpg\\43b.jpg","stimuli_exp1_jpg\\43a.jpg"
25,"camera","stimuli_exp1_jpg\\43c.jpg","stimuli_exp1_jpg\\43a.jpg"
25,"camera","stimuli_exp1_jpg\\43d.jpg","stimuli_exp1_jpg\\43a.jpg"
25,"camera","stimuli_exp1_jpg\\43b.jpg","stimuli_exp1_jpg\\43c.jpg"
25,"camera","stimuli_exp1_jpg\\43d.jpg","stimuli_exp1_jpg\\43b.jpg"
25,"camera","stimuli_exp1_jpg\\43c.jpg","stimuli_exp1_jpg\\43d.jpg"
35,"tennis_ball","stimuli_exp1_jpg\\23b.jpg","stimuli_exp1_jpg\\23a.jpg"
35,"tennis_ball","stimuli_exp1_jpg\\23c.jpg","stimuli_exp1_jpg\\23a.jpg"
35,"tennis_ball","stimuli_exp1_jpg\\23a.jpg","stimuli_exp1_jpg\\23d.jpg"
35,"tennis_ball","stimuli_exp1_jpg\\23c.jpg","stimuli_exp1_jpg\\23b.jpg"
35,"tennis_ball","stimuli_exp1_jpg\\23d.jpg","stimuli_exp1_jpg\\23b.jpg"
35,"tennis_ball","stimuli_exp1_jpg\\23d.jpg","stimuli_exp1_jpg\\23c.jpg"
43,"yarn","stimuli_exp1_jpg\\29a.jpg","stimuli_exp1_jpg\\29b.jpg"
43,"yarn","stimuli_exp1_jpg\\29a.jpg","stimuli_exp1_jpg\\29c.jpg"
43,"yarn","stimuli_exp1_jpg\\29a.jpg","stimuli_exp1_jpg\\29d.jpg"
43,"yarn","stimuli_exp1_jpg\\29b.jpg","stimuli_exp1_jpg\\29c.jpg"
43,"yarn","stimuli_exp1_jpg\\29b.jpg","stimuli_exp1_jpg\\29d.jpg"
43,"yarn","stimuli_exp1_jpg\\29d.jpg","stimuli_exp1_jpg\\29c.jpg"
38,"croissant","stimuli_exp1_jpg\\38b.jpg","stimuli_exp1_jpg\\38a.jpg"
38,"croissant","stimuli_exp1_jpg\\38c.jpg","stimuli_exp1_jpg\\38a.jpg"
38,"croissant","stimuli_exp1_jpg\\38a.jpg","stimuli_exp1_jpg\\38d.jpg"
38,"croissant","stimuli_exp1_jpg\\38c.jpg","stimuli_exp1_jpg\\38b.jpg"
